low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
360.57,381.34,363.59,376.28,8617.15,3220878.18,376.28,376.28,0.0,0.0,0.0
372.25,386.6,376.42,376.72,7245.19,2746157.05,376.51833333333326,376.5084615384615,0.009871794871742168,0.005484330484301204,0.008774928774881927
373.32,381.99,376.57,373.34,3046.33,1145566.61,375.2778290993071,375.3700640709709,-0.09223497166379957,-0.03456456383869091,-0.11534081565021732
373.03,382.31,376.4,378.39,6660.56,2520662.37,376.2602198275862,376.21430618679693,0.04591364078925153,-0.007302299398331006,0.10643188037516507
375.23,382.86,378.39,379.25,6832.53,2593576.46,377.07253241502644,376.9182961030982,0.15423631192822995,0.04075178536087917,0.22696905313470156
374.23,383.0,379.25,376.67,7908.29,2998357.92,376.9746958610233,376.8685643739863,0.10613148703697561,0.05847331955619545,0.09531633496156033
360.01,378.99,376.67,365.2,8865.09,3297896.46,374.3472136761532,374.7933706883071,-0.4461570121538898,-0.06923515508739765,-0.7538437141329843
363.99,377.89,365.2,374.95,8951.16,3331762.49,374.4730058911304,374.8186075514329,-0.34560166030246364,-0.13565122336386048,-0.4199008738772063
371.31,376.99,374.95,375.07,2300.21,861748.71,374.59111257466066,374.85586943111315,-0.26475685645249314,-0.16547526510368316,-0.19856318269761997
373.16,377.5,375.07,376.87,2429.62,913715.62,375.02296085608566,375.1337998467153,-0.1108389906296452,-0.1532335679901181,0.08478915472094584
364.6,377.45,376.87,364.61,9920.84,3655238.4,373.11764009364197,373.7688596726518,-0.651219579009819,-0.2621900617409952,-0.7780590345376476
343.97,365.48,364.61,350.49,20940.84,7376463.45,369.0945199683573,370.90868497057323,-1.8141650022159297,-0.5954891916391472,-2.437351621153565
347.23,353.74,350.49,348.13,6579.79,2304335.87,365.454282870575,368.2401661349431,-2.785883264368067,-1.0590526783790781,-3.453661171977978
339.8,364.43,348.13,348.98,16533.38,5842055.01,362.6492384920477,366.07702026724866,-3.4277817752009696,-1.5545925727802976,-3.746378404841344
348.0,358.59,348.98,354.48,8039.95,2846451.59,361.28075119214725,364.822506748326,-3.541755556178771,-1.966518525451834,-3.1504740614538735
347.03,354.95,354.48,351.45,3880.75,1359211.39,359.6561420465474,363.4236326899304,-3.7674906433829847,-2.3371451614105467,-2.860690963944876
348.96,351.98,351.45,350.17,561.33,196831.56,358.10617014133607,362.0782732296621,-3.972103088326037,-2.6716695667293453,-2.600867043193383
350.17,350.17,350.17,350.17,0.0,0.0,356.82171608697473,360.90175682946546,-4.0800407424907235,-2.9585110791962625,-2.243059326588922
330.0,350.17,350.17,330.02,5677.83,1902071.15,352.51834462047697,357.92430861542425,-5.405963994947285,-3.4551591148530862,-3.901609760188398
315.23,335.99,331.56,321.1,23478.02,7586686.22,347.5073714732051,354.4514964201776,-6.944124946972465,-4.161091123209202,-5.566067647526527
304.99,325.61,321.32,312.17,21637.58,6788858.09,341.90298631253006,350.5431103696175,-8.640124057087462,-5.065236983631108,-7.1497741469127085
307.11,320.0,310.48,318.0,15958.56,4999167.76,338.12997845406545,347.5891581285164,-9.459179674450922,-5.950558038161466,-7.017243272578913
316.52,333.0,317.23,329.99,11146.4,3617196.63,336.85022931239524,346.0179090526091,-9.167679740213885,-6.597803038692843,-5.139753403042084
318.78,332.98,332.58,323.15,6510.0,2114707.57,334.7035477661052,344.00684665635714,-9.303298890251938,-7.1414696017599475,-4.323658576983981
319.9,333.99,322.24,330.52,11646.6,3821126.0,334.0498884757661,342.8370028341084,-8.78711435834225,-7.47184668239826,-2.630535351887982
327.49,338.99,330.52,335.49,7804.03,2604314.14,334.2743604797586,342.2076971655946,-7.933336685835968,-7.564424482317415,-0.7378244070371061
320.92,337.0,337.0,322.14,5544.8,1826465.31,332.3867849194683,340.5084817016469,-8.12169678217856,-7.676149075781092,-0.891095412794936
316.63,324.23,320.92,319.39,3924.9,1255322.02,330.36850529469035,338.73904809035525,-8.370542795664903,-7.815296970930961,-1.1104916494678836
316.64,332.0,319.0,330.88,6347.26,2066944.34,330.4478210834524,338.0869032971778,-7.6390822137253735,-7.779999399143086,0.2818343708354245
311.63,330.97,330.97,315.89,8639.54,2747753.48,328.1931399258394,336.26126075177615,-8.068120825936774,-7.837695108330321,-0.4608514352129056
311.22,319.56,315.89,316.63,4089.61,1288906.81,326.4041133353081,334.6597264284613,-8.255613093153158,-7.921361564539758,-0.6685030572268005
311.61,320.14,316.63,314.78,5901.06,1859591.78,324.6072197817557,333.050005833187,-8.442786051431312,-8.025729150438638,-0.8341138019853496
310.0,316.77,314.78,311.94,9894.24,3091941.68,322.65052174460584,331.3523776233577,-8.701855878751871,-8.161040259705725,-1.0816312380922923
310.69,320.0,311.94,319.25,6097.71,1925334.88,322.12557231883915,330.38526194611984,-8.259689627280693,-8.180780142530443,-0.15781896950050012
312.6,321.0,319.25,316.31,3223.06,1018388.35,321.2282767228957,329.26701803452374,-8.03874131162803,-8.15236084811456,0.22723907297305956
311.96,317.01,316.31,316.51,3472.05,1093571.94,320.50060927079136,328.2589221582745,-7.758312887483157,-8.073525672511115,0.630425570055916
285.0,316.58,316.51,286.01,20350.46,6078845.04,315.1833637333251,324.93673283186183,-9.753369098536723,-8.409581602823799,-2.6875749914258478
255.0,289.81,286.01,264.62,42650.57,11614560.04,307.3907464679168,320.21533244001836,-12.824585972101545,-9.292765906882847,-7.0636401304373955
262.94,280.0,264.62,276.8,9752.08,2655979.12,302.67749795898436,316.831142261955,-14.153644302970633,-10.26510314333491,-7.777082319271447
276.8,276.8,276.8,276.8,0.0,0.0,298.69134952703274,313.72279221089906,-15.031442683866317,-11.21849777932531,-7.625889809082015
276.8,276.8,276.8,276.8,0.0,0.0,295.3198748755534,310.866011024688,-15.546136149134611,-12.084117501764672,-6.924037294739879
276.8,276.8,276.8,276.8,0.0,0.0,292.4681048500025,308.23892728950136,-15.770822439498886,-12.821521220682225,-5.898602437633322
276.8,276.8,276.8,276.8,0.0,0.0,290.05579590293087,305.8217937741741,-15.765997871243258,-13.410456631661553,-4.711082479163409
276.8,276.8,276.8,276.8,0.0,0.0,288.0151318698224,303.5967488576381,-15.581616987815664,-13.844712346022346,-3.473809283586636
276.8,276.8,276.8,276.8,0.0,0.0,286.288788655097,301.5476093001699,-15.258820645072888,-14.12754632498968,-2.2625486401664148
263.54,272.43,270.4,268.16,7909.25,2133679.78,283.49846095747404,299.0005703425864,-15.502109385112362,-14.402468516654446,-2.1992817369158324
216.0,268.72,268.16,221.0,57653.9,13652228.51,273.8795699125425,293.06328304836313,-19.183713135820653,-15.358744097560274,-7.649938076520758
152.4,230.89,221.0,162.0,123599.76,23647658.54,256.6616588395254,283.1072954495495,-26.44563661002411,-17.576172050348813,-17.738929119350594
161.1,233.9,162.0,208.81,86158.17,17721319.5,249.2978134335746,277.47407635904796,-28.176262925473367,-19.69622804843662,-16.960069754073494
198.04,223.15,214.77,206.6,34657.09,7308109.72,242.72737002385367,272.10977120057277,-29.3824011767191,-21.633490323624237,-15.497821706189725
192.17,212.84,206.6,200.1,19933.78,4007435.83,236.16800458482712,266.66828899517844,-30.500284410351327,-23.406869389379096,-14.18683004194446
195.02,222.0,200.1,211.42,18205.49,3816641.51,232.3599764794992,262.49962192333993,-30.13964544384072,-24.75343690033781,-10.77241708700582
207.7,220.94,210.05,216.88,12796.47,2729178.12,229.9781014370432,259.0622108419055,-29.08410940486229,-25.619577730573916,-6.929063348576747
201.98,217.84,217.84,211.08,14234.73,2998319.48,227.07034980016047,255.4513850811106,-28.38103528095013,-26.171872469367816,-4.418325623164627
205.0,228.9,211.08,228.59,22796.06,4937625.47,227.30416604906085,253.43235496961873,-26.128188920557875,-26.163135718745746,0.0698935963757421
226.01,239.0,228.59,233.0,25809.37,6003089.46,228.18052402590533,251.89823476943607,-23.717710743530745,-25.674048893811683,3.912676300561877
225.55,240.0,233.0,233.03,15246.43,3539626.61,228.9266518819377,250.4829809559633,-21.556329074025626,-24.85050246485207,6.588346781652888
230.03,249.99,233.03,249.99,13633.14,3297573.46,232.16736774861533,250.4460382983872,-18.278670549771874,-23.536132934546274,10.514924769548799
241.33,257.0,249.99,253.09,28139.7,7019125.49,235.38640299594869,250.643998744106,-15.257595748157314,-21.880422325557078,13.245653154799527
253.09,309.9,253.09,269.5,55355.5,15614774.92,240.63488149446394,252.05467117314393,-11.41978967867999,-19.78829259000217,16.737005822644356
243.1,278.51,269.5,262.99,21293.57,5501345.88,244.074259584312,252.8721710021144,-8.797911417802425,-17.590213660725297,17.584604485845745
225.91,266.45,262.99,236.2,27595.15,6774004.56,242.86279655875006,251.6266496009014,-8.76385304215134,-15.824939805634944,14.12217352696721
220.0,242.18,236.2,234.75,26178.79,6076004.2,241.61464047018345,250.3666492937552,-8.752008823571742,-14.41035249928375,11.316687351424015
227.26,244.98,234.75,232.6,19832.17,4653564.37,240.22774116985752,249.0409780874307,-8.813236917573164,-13.290928680267916,8.955383525389504
215.75,234.8,232.6,217.98,19706.27,4494529.82,236.8049459042916,246.72459570115788,-9.919649796866281,-12.61667256499765,5.3940455362627375
208.48,220.81,217.98,214.8,6189.01,1336586.85,233.4195144963014,244.34500151716128,-10.92548702085989,-12.278435320288525,2.7058965988572687
214.8,241.98,214.8,237.97,6423.56,1494778.57,234.11959883314393,243.87004224586406,-9.75044341272013,-11.77283677628174,4.044786727123217
223.79,244.39,237.97,227.35,17756.67,4178199.28,233.0781099498465,242.63977115781822,-9.561661207971724,-11.330601548916597,3.537880681889746
220.02,231.0,227.35,227.0,14313.23,3220391.1,232.14300688859467,241.47551772937913,-9.332510840784465,-10.93098332509347,3.196944968618009
213.64,228.94,227.0,217.0,4314.11,953936.47,229.81329407845828,239.6541848538578,-9.840890775399515,-10.712964779279629,1.7441480077602272
214.95,225.86,216.81,222.88,4730.33,1044545.84,228.74662591862764,238.4063674060977,-9.659741487470058,-10.502320093188372,1.6851572114366284
221.77,231.14,223.37,228.61,6356.04,1444459.22,228.7256064209355,237.67785344777425,-8.952247026838762,-10.192305447270096,2.4801168408626673
219.7,232.89,228.3,224.19,5456.94,1232858.74,228.02781728973963,236.67511190583429,-8.647294616094655,-9.883303255001623,2.4720172778139364
215.0,225.99,224.19,220.72,19478.94,4277024.95,226.90353289690503,235.48926453833846,-8.585731641433426,-9.623788914796751,2.07611454672665
215.0,222.0,220.72,220.95,6332.22,1385375.22,225.9876014433135,234.40891855919898,-8.421317115885472,-9.383294542047064,1.9239548523231846
217.99,223.43,220.95,219.12,9298.5,2057106.38,224.93104413885922,233.27313197803255,-8.342087839173331,-9.175053192489639,1.665930706632615
218.17,223.07,219.55,222.46,4010.23,886601.16,224.55088251681525,232.4700156114978,-7.919133094682536,-8.923869164260175,2.009472139155278
221.37,242.35,223.0,236.86,8077.55,1895018.31,226.44459705184892,232.79600529866403,-6.351408246815112,-8.409376966567583,4.115937439504943
236.9,259.31,237.0,257.9,10813.61,2698932.39,231.28389879317865,234.6598255432932,-3.3759267501145587,-7.402686901043636,8.053520301858155
227.75,265.89,256.99,234.01,18474.58,4533254.41,231.70329963737404,234.6115881101322,-2.9082884727581586,-6.503807199504712,7.191037453493108
229.2,241.23,234.01,236.55,12321.08,2907774.51,232.44894683767956,234.75545643061633,-2.306509592936777,-5.664347666325552,6.71567614677755
232.01,248.78,236.55,244.96,11898.41,2871937.78,234.37372641111304,235.51272417645848,-1.1389977653454366,-4.759277675895159,7.2405598210994455
232.24,247.0,244.96,235.79,6766.05,1626634.28,234.59161486282355,235.53329773125313,-0.9416828684295808,-3.9957587074950554,6.108151678130949
235.66,245.01,237.37,242.67,4730.24,1138295.79,235.83444434582424,236.06276694740512,-0.22832260158088502,-3.2422714808592303,6.027897758556691
239.41,248.96,240.59,246.1,4559.19,1115548.64,237.41376167594228,236.80733940390164,0.6064222720406462,-2.4725327258227723,6.157909995726837
244.0,247.48,245.48,245.87,1553.36,381377.02,238.7147221678382,237.47954514743648,1.2351770204017214,-1.730990773143286,5.932335587090015
232.48,247.42,245.41,236.68,6739.67,1598342.42,238.40168783552534,237.42024626816792,0.9814415673574217,-1.1885043030330442,4.339891740780931
232.05,240.66,236.68,238.92,3706.77,873272.09,238.48142820142323,237.53146645616997,0.9499617452532618,-0.7608110921079818,3.4215456747224873
236.3,240.88,239.65,239.69,2430.95,580503.8,238.6673623891969,237.69152748662566,0.9758349025712505,-0.4134818923484713,2.7786335898394436
236.0,240.61,239.94,238.0,1735.6,413399.21,238.56469122206624,237.71439975009505,0.8502914719711896,-0.16072721900502882,2.022037381952437
